id,title,price,currency,brand,url,image,rating,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
89709d91,ASUS ExpertBook B3 B5605CCA-PL0017X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00717627.html,https://media.ldlc.com/r150/ld/products/00/06/30/55/LD0006305569_0006305601.jpg,,True,ldlc,France,2025-12-29T00:47:40.347139,,,,,
22b57341,ASUS ExpertBook B3 Flip B3402FVA-EC0164X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00690414.html,https://media.ldlc.com/r150/ld/products/00/06/25/36/LD0006253602.jpg,,True,ldlc,France,2025-12-29T00:47:40.348138,,,,,
8157a1bd,ASUS ExpertBook B5 B5404CMA-Q70062X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00613628.html,https://media.ldlc.com/r150/ld/products/00/06/13/48/LD0006134844_0006134941.jpg,,True,ldlc,France,2025-12-29T00:47:40.349140,,,,,
593a2a81,ASUS ExpertBook B5 B5405CCA-NZ0030X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00715121.html,https://media.ldlc.com/r150/ld/products/00/06/29/87/LD0006298713.jpg,,True,ldlc,France,2025-12-29T00:47:40.350140,,,,,
be62edbd,ASUS ExpertBook B5 B5604CMA-QW0034X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00609916.html,https://media.ldlc.com/r150/ld/products/00/06/12/77/LD0006127732_0006128027.jpg,,True,ldlc,France,2025-12-29T00:47:40.351140,,,,,
cc775750,ASUS ExpertBook BM1 BM1503CDA-S70021X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00706603.html,https://media.ldlc.com/r150/ld/products/00/06/28/17/LD0006281794_0006281879.jpg,,True,ldlc,France,2025-12-29T00:47:44.833756,,,,,
88bb0bad,ASUS ExpertBook BM1 BM1503CDA-S70310X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00706221.html,https://media.ldlc.com/r150/ld/products/00/06/28/17/LD0006281794.jpg,,True,ldlc,France,2025-12-29T00:47:44.834757,,,,,
1a926aaa,ASUS ExpertBook P1 P1403CVA-S60636X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00683694.html,https://media.ldlc.com/r150/ld/products/00/06/23/54/LD0006235484_0006242383_0006242394.jpg,,True,ldlc,France,2025-12-29T00:47:44.835754,,,,,
1e93e3ff,ASUS ExpertBook P1 P1403CVA-S60637X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00683693.html,https://media.ldlc.com/r150/ld/products/00/06/23/54/LD0006235484_0006242383.jpg,,True,ldlc,France,2025-12-29T00:47:44.837754,,,,,
9e4a1d5b,ASUS ExpertBook P1 P1403CVA-S60809X,,EUR,ASUS,https://www.ldlc.com/fiche/PB00675834.html,https://media.ldlc.com/r150/ld/products/00/06/23/54/LD0006235484.jpg,,True,ldlc,France,2025-12-29T00:47:44.838755,,,,,
